Halal,NAME,BSE-ID,NSECode,Industry,More
yes,Alpex Solar Ltd,,ALPEXSOLAR,Other Electrical Equipment,More
yes,ALPHAGEO (INDIA) LTD.,ALPHAGEO,ALPHAGEO,Oil Drilling / Allied Services,More
no,ALPHALOGIC TECH.,ALPHALOGIC,,Computers - Software - Medium / Small,More
yes,ALPINE HOUSING DEVELOPMENT CORPORATION LTD.,FACORALL,,Construction,More
no,ALPS INDUSTRIES LTD.,ALPSINDUS,ALPSINDUS,Textiles - Products,More
no,ALPS MOTOR FINANCE LTD,ALPSMOTOR,,Finance & Investments,More
yes,Alstone Textiles (India) Ltd,ALSTONE,,Distributors,More
yes,ALUFLUORIDE LTD.,ALUFLUOR,,Chemicals,More
yes,Aluwind Architectural Ltd,,ALUWIND,Aluminium Copper & Zinc Products,More
yes,AMAL LTD.,AMAL,,Dyes And Pigments,More
no,AMALGAMATED ELECTRICITY CO.LTD.,AMALGAM,,Diversified Commercial Services,More
no,Amanaya Ventures Ltd,AMANAYA,,Precious Metals,More
yes,AMARA RAJA ENERGY & MOBILITY LIMITED,ARE&M,ARE&M,Auto Ancillaries,More
no,AMARJOTHI SPINNING MILLS LTD.,AMARJOTHI,,Textiles - Cotton/Blended,More
yes,AMBA ENTERPRISES LTD,AEL,,Electric Equipment,More
yes,AMBALAL SARABHAI ENTERPRISES LTD.,AMBALALSA,,Pharmaceuticals - Indian - Formulations,More
no,AMBANI ORGANICS,,AMBANIORG,Chemicals,More
yes,AMBAR PROTEIN INDUSTRIES LTD,AMBARPIL,,Solvent Extraction,More
no,Ambassador Intra Holdings Ltd,AIHL,,Trading Companies & Distributors,More
yes,AMBER ENTERPRISES INDIA LTD,AMBER,AMBER,Electronics - Components,More
no,AMBICA AGARBATHIES & AROMA INDUSTRIES LTD.,AMBICAAGAR,AMBICAAGAR,Trading,More
yes,AMBIKA COTTON MILLS LTD.,AMBIKCO,AMBIKCO,Textiles - Cotton/Blended,More
no,AMBITION MICA LTD,AMBITION,,Miscellaneous,More
yes,Ambo Agritec Ltd,AMBOAGRI,,Edible Oil,More
yes,AMBUJA CEMENTS LTD.,AMBUJACEM,AMBUJACEM,Cement - North India,More
no,AMCO INDIA LTD.,AMCOIND,,Aluminium and Aluminium Products,More
no,AMD INDUSTRIES LTD.,AMDIND,AMDIND,Packaging,More
yes,Amerise Biosciences Ltd,AMERISE,,Plastic Products - Industrial,More
yes,Amerise Biosciences Ltd,AMERISE,,Finance & Investments,More
yes,AMEYA PRECISION ENGINEERS LIMITED,,AMEYA,Other Industrial Products,More
no,AMFORGE INDUSTRIES LTD.,AMFORG,,Finance & Investments,More
yes,Ami Organics Ltd,AMIORG,AMIORG,Pharmaceuticals,More
yes,Amic Forging Ltd,AMIC,,Castings & Forgings,More
no,AMIN TANNERY LTD,AMINTAN,,Leather / Leather Products,More
yes,AMINES & PLASTICIZERS LTD.,AMNPLST,AMNPLST,Chemicals,More
no,AMIT INTERNATIONAL LTD.,AMITINT,,Textiles - Products,More
